Name,Website,Phone,Email,Location,Category,Description
ACE Rent A Car,acerentacar.com,(866) 551-8267,,Indianapolis IN,Independent Regional,"Multinational independent rental, est. 1966, 51+ locations"
Fox Rent A Car,foxrentacar.com,(323) 593-7486,,Multi-state (CA FL TX NV CO AZ GA HI),Independent Regional,"Affordable independent rental at major US airports, ~9000 employees"
Midway Car Rental,midwaycarrental.com,(866) 717-6802,,Los Angeles CA,Independent Regional,"Largest privately held independent car rental in LA, est. 1972"
Advantage Rent A Car,advantage.com,(888) 433-2222,,Orlando FL,Independent Regional,"Est. 1963, operates in 30+ US airports, ~350 employees"
Payless Car Rental,paylesscar.com,1-800-729-5377,,Multi-state,Independent Regional,"Founded 1971 in Spokane WA, budget brand at major airports"
U-Save Car and Truck Rental,usave.com,(877) 813-7008,reservations@usave.com,Madison MS,Independent Regional,"Oldest auto rental franchise in the US (est. 1979), 200+ locations"
NU Car Rentals,nucarrentals.com,(877) 535-7117,Reservations@NUCarRentals.com,San Antonio TX,Independent Regional,"Airport and city center locations across North America"
EZ Rent-A-Car,e-zrentacar.com,(800) 277-5171,,Georgia,Independent Regional,"Independent rental company operating at US airports"
Routes Car Rental,routescarrental.com,,,Denver CO / Atlanta GA / Chicago IL,Independent Regional,"Multi-state operator at US airports, incorporated 2018"
Economy Rent a Car,economyrentacar.com,(877) 326-7368,info@economyrentacar.com,Honolulu HI,Independent Regional,"Hawaii-based airport car rental near Honolulu"
Silvercar,silvercar.com,,,Austin TX,Independent Regional,"App-based premium rental (Audi fleet), est. 2012"
Rent-A-Wreck,rentawreck.com,(877) 877-0700,,Multi-state (23+ states),Independent Regional,"Oldest and largest used car rental company in the world, since 1973"
NextCar Rental,nextcarrental.com,(877) 877-1800,,Multi-state (15+ states),Independent Regional,"Franchise rental (NP Franchise Group), est. 2003"
Priceless Car Rental,pricelesscarrental.com,(877) 877-1400,,Multi-state (16+ states),Independent Regional,"Locally-owned franchise, operating 40+ years"
Easirent,us.easirent.com,,,Fort Lauderdale FL,Independent Regional,"Family-run company est. 1999, FL TX NC NV locations"
Zezgo Rent A Car,zezgo.com,,,Brighton UK / US locations,Independent Regional,"Global brand est. 2012, affordable car hire"
DRIVE Rental Cars,driverentalcars.com,1-866-903-7483,Reservations@DriveRentalCars.com,Multi-state,Independent Regional,"Wide vehicle selection from economy to luxury"
Royal Rent-A-Car,royalrentacar.com,(305) 871-3000,,Miami FL,Independent Regional,"Independently owned since 1983 at Miami International Airport"
Saver Car Rental,savercarrental.com,,,Fort Lauderdale FL,Independent Regional,"Budget car rentals at Florida airports and cruise terminals"
Street Rent a Car,streetrentacar.com,,,Global (47+ countries),Independent Regional,"Network of independent rental locations with 24/7 support"
American Rent-A-Car,americanrentacar.com,(734) 494-2444,customercare@americanrentacar.com,Romulus MI,Independent Regional,"Michigan-based with locations in MI NC FL VA"
Flexways,flexways.com,,,Los Angeles CA,Independent Regional,"Car sharing/rental with hourly to multi-day options"
Go Rentals,gorentals.com,,,Multi-state,Independent Regional,"Luxury car SUV sports car rentals for business and leisure"
Super Cheap Car Rental,supercheapcar.com,(310) 645-3993,info@supercheapcar.com,Los Angeles / San Francisco CA,Independent Local,"30-year-old company, no hidden fees, no under-25 surcharge"
California Rent A Car,californiarac.com,(310) 477-8080,info@californiarac.com,Los Angeles CA,Independent Local,"Operating since 1999 with Studio Division for production vehicles"
Value Rental Car,rentavaluecar.com,(626) 577-7922,pasadena@rentavaluecar.com,Pasadena / Inglewood CA,Independent Local,"Since 1997, free local pickup/drop-off within 7 miles"
Dirt Cheap Car Rental,dirtcheapcarrental.com,(877) 347-8247,,San Diego CA,Independent Local,"Budget daily/weekly/monthly rentals for students and travelers"
Black & White Car Rental,bwrentacar.com,(310) 337-9999,,Los Angeles CA,Independent Local,"Independent LA-area car rental"
Beverly Hills Car Rental,bhcarrental.com,(310) 448-2018,,Beverly Hills CA,Independent Local,"Luxury and standard vehicle rentals in Beverly Hills"
24Seven Rent A Car,24sevenrentnow.com,(833) 324-7368,,Beverly Hills CA,Independent Local,"24/7 car rental service"
Service Rent-A-Car,servicerentacar.com,(408) 292-6351,,San Jose CA,Independent Local,"Family-owned since 1974, three generations"
State Van Rental,statevan.com,(888) 315-6888,info@statevan.com,Los Angeles CA / Las Vegas NV,Van Specialist,"Since 2009, specializes in passenger vans up to 15-pax"
Discount Hawaii Car Rental,discounthawaiicarrental.com,1-800-292-1930,rentals@discounthawaiicarrental.com,Hawaii (all islands),Independent Local,"Hawaii specialist since 1999, aggregates local deals"
